% rotation x [rad], rotation y [rad], rotation x [rad], time [sec]
-0.13327662794419078973,0.21154475551637674791,-1.8690181802981977732,736427.52990486111958
-0.13328702480204315806,0.21155644731218584131,-1.8691560206119279819,736427.5299627315253
-0.13327875753069656772,0.21153756464211287414,-1.8694437214036256911,736427.53002060181461
-0.13322439450144105133,0.21157254504573280718,-1.8653251433931439252,736427.54240438656416
-0.13325771139909903251,0.21158631340677769295,-1.8664501644756970045,736427.54246225696988
-0.03338110701974997957,-0.12280168670743173143,1.2767865823944049009,736427.54518959484994
-0.033374902791950364356,-0.12280475390283970838,1.2773110214558918152,736427.54524746525567
-0.033377517532502620767,-0.12280147141956850032,1.2747879054325228498,736427.5453053356614
-0.13398604913788786375,0.21140729620533774136,-1.8694640961876036744,736427.55351871531457
-0.13396904167748718839,0.21139814223507022439,-1.8680799459607291269,736427.55357658560388
-0.1339089199477750125,0.21139827043619016655,-1.8773296397930234747,736427.5536344560096
