12.96606, 1882.34033, -12.96027, 5.65393
13.19208, 1898.03955, -13.18597, 5.95435
13.42023, 1913.73022, -13.41357, 6.26318
13.65033, 1929.41235, -13.64325, 6.58032
13.88281, 1945.08594, -13.87488, 6.90588
14.11713, 1960.75073, -14.10883, 7.24048
14.35364, 1976.40698, -14.34467, 7.58350
14.59229, 1992.05420, -14.58276, 7.93530
14.83307, 2007.69226, -14.82288, 8.29651
15.07617, 2023.32117, -15.06512, 8.66638
13.89484, -6.64075, 2.11517, 6.64856
13.94312, 9.52350, 2.06610, 6.48364
13.99249, 25.68701, 2.01617, 6.31934
14.04297, 41.85010, 1.96515, 6.15570
14.09442, 58.01239, 1.91309, 5.99280
14.14691, 74.17395, 1.85992, 5.83075
14.20050, 90.33459, 1.80585, 5.66962
14.25525, 106.49426, 1.75055, 5.50928
14.31091, 122.65320, 1.69440, 5.35004
14.36786, 138.81104, 1.63696, 5.19159
14.42584, 154.96814, 1.57855, 5.03418
14.48480, 171.12396, 1.51910, 4.87787
14.54517, 187.27893, 1.45837, 4.72260
14.60638, 203.43256, 1.39667, 4.56848
14.66882, 219.58521, 1.33374, 4.41571
14.73236, 235.73663, 1.27002, 4.26398
14.79712, 251.88678, 1.20477, 4.11353
14.86292, 268.03558, 1.13867, 3.96448
14.92999, 284.18298, 1.07135, 3.81683
14.99805, 300.32910, 1.00287, 3.67053
15.06738, 316.47375, 0.93329, 3.52563
15.13776, 332.61688, 0.86243, 3.38232
15.20941, 348.75848, 0.79059, 3.24060
15.28235, 364.89862, 0.71753, 3.10040
15.35626, 381.03705, 0.64325, 2.96185
15.43140, 397.17377, 0.56793, 2.82507
15.50781, 413.30872, 0.49121, 2.68994
15.58545, 429.44202, 0.41339, 2.55658
15.66418, 445.57336, 0.33453, 2.42517
15.74420, 461.70294, 0.25433, 2.29565
15.82544, 477.83057, 0.17291, 2.16791
15.90796, 493.95618, 0.09033, 2.04230
15.99158, 510.07977, 0.00641, 1.91864
16.07648, 526.20129, -0.07861, 1.79706
16.16278, 542.32068, -0.16492, 1.67773
16.25024, 558.43793, -0.25244, 1.56061
16.33893, 574.55286, -0.34143, 1.44556
16.42896, 590.66559, -0.43146, 1.33295
16.52014, 606.77588, -0.52271, 1.22253
16.61273, 622.88379, -0.61542, 1.11469
16.70667, 638.98938, -0.70935, 1.00928
16.80176, 655.09235, -0.80463, 0.90631
16.89813, 671.19275, -0.90094, 0.80591
16.99591, 687.29059, -0.99878, 0.70813
17.09491, 703.38574, -1.09790, 0.61304
17.19550, 719.47815, -1.19836, 0.52069
17.29718, 735.56781, -1.30005, 0.43109
17.40015, 751.65460, -1.40320, 0.34436
17.50458, 767.73853, -1.50763, 0.26050
17.61035, 783.81946, -1.61340, 0.17969
17.71747, 799.89740, -1.72064, 0.10175
17.82611, 815.97229, -1.82916, 0.02698
17.93597, 832.04401, -1.93903, -0.04468
18.04724, 848.11255, -2.05029, -0.11316
18.15985, 864.17786, -2.16290, -0.17841
18.27380, 880.23981, -2.27698, -0.24030
18.38953, 896.29846, -2.39240, -0.29889
18.50635, 912.35364, -2.50934, -0.35400
18.62469, 928.40533, -2.62769, -0.40558
18.74438, 944.45343, -2.74738, -0.45361
18.86560, 960.49792, -2.86847, -0.49805
18.98822, 976.53876, -2.99109, -0.53882
19.11243, 992.57587, -3.11530, -0.57587
19.23798, 1008.60913, -3.24054, -0.60907
19.36505, 1024.63855, -3.36774, -0.63843
19.49347, 1040.66406, -3.49615, -0.66394
19.62360, 1056.68542, -3.62616, -0.68518
19.75507, 1072.70288, -3.75757, -0.70264
19.88812, 1088.71606, -3.89062, -0.71570
20.02271, 1104.72510, -4.02509, -0.72473
20.15875, 1120.72998, -4.16113, -0.72949
20.29626, 1136.73035, -4.29858, -0.72986
20.43542, 1152.72644, -4.43774, -0.72595
20.57617, 1168.71802, -4.57831, -0.71741
20.71826, 1184.70496, -4.72046, -0.70435
20.86212, 1200.68738, -4.86432, -0.68665
21.00757, 1216.66504, -5.00958, -0.66431
21.15460, 1232.63794, -5.15649, -0.63721
21.30316, 1248.60620, -5.30499, -0.60547
21.45337, 1264.56934, -5.45508, -0.56848
21.60510, 1280.52759, -5.60681, -0.52673
21.75854, 1296.48071, -5.76019, -0.47986
21.91351, 1312.42883, -5.91516, -0.42810
22.07019, 1328.37170, -6.07172, -0.37085
22.22864, 1344.30933, -6.22998, -0.30847
22.38855, 1360.24158, -6.38989, -0.24072
22.55029, 1376.16846, -6.55157, -0.16760
22.71368, 1392.08972, -6.71497, -0.08887
22.87854, 1408.00549, -6.87970, -0.00464
23.04535, 1423.91565, -7.04639, 0.08521
23.21387, 1439.81995, -7.21472, 0.18079
23.38397, 1455.71851, -7.38464, 0.28223
23.55585, 1471.61121, -7.55652, 0.38953
23.72949, 1487.49780, -7.72998, 0.50281
23.90479, 1503.37854, -7.90527, 0.62195
24.08197, 1519.25305, -8.08234, 0.74744
24.26099, 1535.12134, -8.26111, 0.87903
24.44171, 1550.98328, -8.44171, 1.01697
24.62408, 1566.83887, -8.62402, 1.16138
24.80829, 1582.68799, -8.80811, 1.31213
24.99445, 1598.53064, -8.99420, 1.46936
25.18237, 1614.36646, -9.18201, 1.63342
25.37201, 1630.19580, -9.37146, 1.80408
25.56372, 1646.01819, -9.56287, 1.98145
25.75714, 1661.83362, -9.75623, 2.16589
25.95245, 1677.64221, -9.95111, 2.35706
26.14978, 1693.44360, -10.14825, 2.55542
26.34869, 1709.23792, -10.34711, 2.76099
26.54974, 1725.02490, -10.54785, 2.97375
26.75250, 1740.80469, -10.75049, 3.19385
26.95734, 1756.57690, -10.95490, 3.42126
27.16406, 1772.34155, -11.16162, 3.65649
27.37262, 1788.09863, -11.36975, 3.89905
27.58331, 1803.84790, -11.58020, 4.14929
27.79596, 1819.58960, -11.79236, 4.40735
28.01044, 1835.32324, -12.00665, 4.67310
28.22711, 1851.04883, -12.22284, 4.94727
28.44574, 1866.76636, -12.44116, 5.22925
28.66632, 1882.47559, -12.66119, 5.51953
28.88892, 1898.17676, -12.88342, 5.81787
29.11346, 1913.86938, -13.10748, 6.12451
