% ra [deg], dec [deg], x [px], y[px], time [days from 0 year]
190.30000000000001137,-0.73172000000000003705,477.80000000000001137,357.47000000000002728,736495.7361639351584
190.78000000000000114,-0.53835999999999994969,1081.9000000000000909,852.72000000000002728,736495.7361639351584
191.15999999999999659,-0.37373000000000000664,1586.9000000000000909,1253.5999999999999091,736495.7361639351584
190.68999999999999773,-0.85623000000000004661,590.33000000000004093,967.42999999999994998,736495.7361639351584
191.11000000000001364,-0.70425999999999999712,1102.2000000000000455,1421.5,736495.7361639351584
190.69999999999998863,-0.20211999999999999411,1475.5999999999999091,507.04000000000002046,736495.7361639351584
190.74000000000000909,-0.76626000000000005219,747.94000000000005457,968.87999999999999545,736495.7361639351584
191.33000000000001251,-0.52985000000000004317,1503.7000000000000455,1600,736495.7361639351584
190.81999999999999318,-0.20453999999999999959,1560.0999999999999091,669.53999999999996362,736495.7361639351584
191,-0.58772999999999997467,1178.7000000000000455,1189,736495.7361639351584
191.06000000000000227,-1.0505999999999999783,605.03999999999996362,1622.2999999999999545,736495.7361639351584
190.88999999999998636,-1.0960000000000000853,417.81999999999999318,1420.7000000000000455,736495.7361639351584
190.61000000000001364,-0.57032000000000004913,918.61000000000001364,655.85000000000002274,736495.7361639351584
190.56999999999999318,-0.307999999999999996,1241.7999999999999545,415.18999999999999773,736495.7361639351584
191.31999999999999318,-0.27793000000000001037,1830.0999999999999091,1395.2999999999999545,736495.7361639351584
190.97999999999998977,-1.0777000000000001023,509.87999999999999545,1533.2000000000000455,736495.7361639351584
190.99000000000000909,-1.0725999999999999979,524.73000000000001819,1543.9000000000000909,736495.7361639351584
191.46000000000000796,-0.1982099999999999973,2039.2000000000000455,1524.2999999999999545,736495.7361639351584
191.25999999999999091,-0.75658000000000003027,1143.5999999999999091,1666.9000000000000909,736495.7361639351584
190.34999999999999432,-0.71657000000000004025,533.78999999999996362,414.42000000000001592,736495.7361639351584
190.55000000000001137,-0.50463999999999997748,962.40999999999996817,527.48000000000001819,736495.7361639351584
190.59999999999999432,-0.99324000000000001176,347.88999999999998636,960.01999999999998181,736495.7361639351584
190.44999999999998863,-0.93217000000000005411,321.10000000000002274,711.27999999999997272,736495.7361639351584
190.59000000000000341,-0.55225000000000001865,925.87999999999999545,610.76999999999998181,736495.7361639351584
191.11000000000001364,-0.70425999999999999712,1102,1421.5999999999999091,736495.73622180556413
191.46000000000000796,-0.1982099999999999973,2039.0999999999999091,1524.4000000000000909,736495.73622180556413
190.81999999999999318,-0.20453999999999999959,1560.0999999999999091,669.73000000000001819,736495.73622180556413
191.15999999999999659,-0.37373000000000000664,1586.9000000000000909,1253.7000000000000455,736495.73622180556413
191.31999999999999318,-0.27793000000000001037,1830.0999999999999091,1395.2999999999999545,736495.73622180556413
191.25999999999999091,-0.75658000000000003027,1143.5,1666.9000000000000909,736495.73622180556413
190.78000000000000114,-0.53835999999999994969,1081.7999999999999545,852.89999999999997726,736495.73622180556413
190.56999999999999318,-0.307999999999999996,1241.7999999999999545,415.29000000000002046,736495.73622180556413
190.44999999999998863,-0.93217000000000005411,321.08999999999997499,711.40999999999996817,736495.73622180556413
190.34999999999999432,-0.71657000000000004025,533.80999999999994543,414.43000000000000682,736495.73622180556413
190.99000000000000909,-1.0725999999999999979,524.72000000000002728,1544,736495.73622180556413
190.59000000000000341,-0.55225000000000001865,925.94000000000005457,611.55999999999994543,736495.73622180556413
190.61000000000001364,-0.57032000000000004913,919.58000000000004093,656.00999999999999091,736495.73622180556413
